Rank,Name,Country,Team Code,Age,ResultTime,Stage,Timegap1,Gap,Team
114,Dennis VAN WINDEN,Netherlands,TLJ,28,+1:42:58,12,+1:42:58,+1:42:58,TEAM LOTTO NL - JUMBO
115,Markel IRIZAR ARANBURU,Spain,TFR,35,+1:44:22,12,+1:44:22,+1:44:22,TREK FACTORY RACING
116,Angel VICIOSO ARCOS,Spain,KAT,38,+1:44:58,12,+1:44:58,+1:44:58,TEAM KATUSHA
117,Joseph ROSSKOPF,United States,BMC,26,+1:45:00,12,+1:45:00,+1:45:00,BMC RACING TEAM
118,Alex HOWES,United States,TCG,27,+1:46:51,12,+1:46:51,+1:46:51,TEAM CANNONDALE - GARMIN
119,Sébastien MINARD,France,ALM,33,+1:47:07,12,+1:47:07,+1:47:07,AG2R LA MONDIALE
120,Tom VAN ASBROECK,Belgium,TLJ,25,+1:47:12,12,+1:47:12,+1:47:12,TEAM LOTTO NL - JUMBO
121,Francisco José VENTOSO ALBERDI,Spain,MOV,33,+1:48:26,12,+1:48:26,+1:48:26,MOVISTAR TEAM
122,Jean-Pierre DRUCKER,Luxembourg,BMC,29,+1:48:43,12,+1:48:43,+1:48:43,BMC RACING TEAM
123,Yohan BAGOT,France,COF,28,+1:48:48,12,+1:48:48,+1:48:48,"COFIDIS, SOLUTIONS CREDITS"
124,Kévin REZA,France,FDJ,27,+1:49:06,12,+1:49:06,+1:49:06,FDJ
125,Simon GERRANS,Australia,OGE,35,+1:49:34,12,+1:49:34,+1:49:34,ORICA GREENEDGE
126,Luka MEZGEC,Slovenia,TGA,27,+1:49:36,12,+1:49:36,+1:49:36,TEAM GIANT - ALPECIN
127,Christian KNEES,Germany,SKY,34,+1:51:13,12,+1:51:13,+1:51:13,TEAM SKY
128,Jasper DE BUYST,Belgium,LTS,22,+1:51:21,12,+1:51:21,+1:51:21,LOTTO SOUDAL
129,Johann VAN ZYL,South Africa,MTN,24,+1:52:09,12,+1:52:09,+1:52:09,MTN - QHUBEKA
130,Imanol ERVITI,Spain,MOV,32,+1:53:42,12,+1:53:42,+1:53:42,MOVISTAR TEAM
131,Jay Robert THOMSON,South Africa,MTN,29,+1:54:36,12,+1:54:36,+1:54:36,MTN - QHUBEKA
132,Alessandro VANOTTI,Italy,AST,35,+1:55:16,12,+1:55:16,+1:55:16,ASTANA PRO TEAM
133,Jaco VENTER,South Africa,MTN,28,+1:55:22,12,+1:55:22,+1:55:22,MTN - QHUBEKA
134,Pavel BRUTT,Russia,TCS,33,+1:56:53,12,+1:56:53,+1:56:53,TINKOFF - SAXO
135,Martin VELITS,Slovakia,EQS,30,+1:56:57,12,+1:56:57,+1:56:57,ETIXX - QUICK STEP
136,Ramirez chacon BRAYAN STIVEN,Colombia,COL,23,+1:58:05,12,+1:58:05,+1:58:05,COLOMBIA
137,Simon PELLAUD,Switzerland,IAM,23,+1:58:17,12,+1:58:17,+1:58:17,IAM CYCLING
138,Songezo JIM,South Africa,MTN,25,+1:59:36,12,+1:59:36,+1:59:36,MTN - QHUBEKA
139,Mathew HAYMAN,Australia,OGE,37,+1:59:57,12,+1:59:57,+1:59:57,ORICA GREENEDGE
140,Tony HUREL,France,EUC,28,+2:00:00,12,+2:00:00,+2:00:00,TEAM EUROPCAR
141,Johan VAN SUMMEREN,Belgium,ALM,34,+2:00:09,12,+2:00:09,+2:00:09,AG2R LA MONDIALE
142,Youcef REGUIGUI,Algeria,MTN,25,+2:00:29,12,+2:00:29,+2:00:29,MTN - QHUBEKA
143,Arnaud COURTEILLE,France,FDJ,26,+2:00:57,12,+2:00:57,+2:00:57,FDJ
144,Ilia KOSHEVOY,Belarus,LAM,24,+2:01:05,12,+2:01:05,+2:01:05,LAMPRE - MERIDA
145,Walter Fernando PEDRAZA MORALES,Colombia,COL,34,+2:01:58,12,+2:01:58,+2:01:58,COLOMBIA
146,Mickael DELAGE,France,FDJ,30,+2:02:02,12,+2:02:02,+2:02:02,FDJ
147,Danny VAN POPPEL,Netherlands,TFR,22,+2:03:00,12,+2:03:00,+2:03:00,TREK FACTORY RACING
148,Dominique ROLLIN,Canada,COF,33,+2:03:59,12,+2:03:59,+2:03:59,"COFIDIS, SOLUTIONS CREDITS"
149,Maciej BODNAR,Poland,TCS,30,+2:05:50,12,+2:05:50,+2:05:50,TINKOFF - SAXO
150,Johannes FRÖHLINGER,Germany,TGA,30,+2:05:59,12,+2:05:59,+2:05:59,TEAM GIANT - ALPECIN
151,Alexis GOUGEARD,France,ALM,22,+2:06:52,12,+2:06:52,+2:06:52,AG2R LA MONDIALE
152,Daniele BENNATI,Italy,TCS,35,+2:07:09,12,+2:07:09,+2:07:09,TINKOFF - SAXO
153,Iljo KEISSE,Belgium,EQS,33,+2:08:11,12,+2:08:11,+2:08:11,ETIXX - QUICK STEP
154,Maximiliano Ariel RICHEZE,Argentina,LAM,32,+2:08:15,12,+2:08:15,+2:08:15,LAMPRE - MERIDA
155,Thierry HUPOND,France,TGA,31,+2:09:22,12,+2:09:22,+2:09:22,TEAM GIANT - ALPECIN
156,Yaroslav POPOVYCH,Ukraine,TFR,35,+2:10:42,12,+2:10:42,+2:10:42,TREK FACTORY RACING
157,Mitchell DOCKER,Australia,OGE,29,+2:11:13,12,+2:11:13,+2:11:13,ORICA GREENEDGE
158,Rory SUTHERLAND,Australia,MOV,33,+2:11:59,12,+2:11:59,+2:11:59,MOVISTAR TEAM
159,Biel KADRI,France,ALM,29,+2:12:20,12,+2:12:20,+2:12:20,AG2R LA MONDIALE
160,Maarten TJALLINGII,Netherlands,TLJ,38,+2:12:55,12,+2:12:55,+2:12:55,TEAM LOTTO NL - JUMBO
161,Antoine DUCHESNE,Canada,EUC,24,+2:14:02,12,+2:14:02,+2:14:02,TEAM EUROPCAR
162,Carlos BARBERO CUESTA,Spain,CJR,24,+2:14:26,12,+2:14:26,+2:14:26,CAJA RURAL-SEGUROS RGA
163,Gatis SMUKULIS,Latvia,KAT,28,+2:14:40,12,+2:14:40,+2:14:40,TEAM KATUSHA
164,Damien HOWSON,Australia,OGE,23,+2:16:56,12,+2:16:56,+2:16:56,ORICA GREENEDGE
165,Tsgabu Gebremaryam GRMAY,Ethiopia,LAM,24,+2:21:26,12,+2:21:26,+2:21:26,LAMPRE - MERIDA
166,Martijn KEIZER,Netherlands,TLJ,27,+2:22:09,12,+2:22:09,+2:22:09,TEAM LOTTO NL - JUMBO
167,Jimmy ENGOULVENT,France,EUC,36,+2:25:44,12,+2:25:44,+2:25:44,TEAM EUROPCAR
168,Tom STAMSNIJDER,Netherlands,TGA,30,+2:27:20,12,+2:27:20,+2:27:20,TEAM GIANT - ALPECIN
169,Murilo Antonio FISCHER,Brazil,FDJ,36,+2:30:26,12,+2:30:26,+2:30:26,FDJ
