Rank,Name,Country,Team Code,Age,ResultTime,Stage,Timegap1,Gap,Team
76,Maxime MONFORT,Belgium,LTS,32,29,1,+29,+29,LOTTO SOUDAL
77,Stig BROECKX,Belgium,LTS,25,29,1,+29,+29,LOTTO SOUDAL
78,André GREIPEL,Germany,LTS,33,29,1,+29,+29,LOTTO SOUDAL
79,Lars Ytting BAK,Denmark,LTS,35,29,1,+29,+29,LOTTO SOUDAL
80,Roger KLUGE,Germany,IAM,29,34,1,+34,+34,IAM CYCLING
81,Robert WAGNER,Germany,TLJ,32,36,1,+36,+36,TEAM LOTTO NL - JUMBO
82,Rick FLENS,Netherlands,TLJ,32,36,1,+36,+36,TEAM LOTTO NL - JUMBO
83,Maarten TJALLINGII,Netherlands,TLJ,38,36,1,+36,+36,TEAM LOTTO NL - JUMBO
84,Moreno HOFLAND,Netherlands,TLJ,24,36,1,+36,+36,TEAM LOTTO NL - JUMBO
85,Nick VAN DER LIJKE,Netherlands,TLJ,24,36,1,+36,+36,TEAM LOTTO NL - JUMBO
86,Steven KRUIJSWIJK,Netherlands,TLJ,28,36,1,+36,+36,TEAM LOTTO NL - JUMBO
87,Martijn KEIZER,Netherlands,TLJ,27,36,1,+36,+36,TEAM LOTTO NL - JUMBO
88,Nicola RUFFONI,Italy,BAR,25,37,1,+37,+37,BARDIANI CSF
89,Enrico BARBIN,Italy,BAR,25,37,1,+37,+37,BARDIANI CSF
90,Enrico BATTAGLIN,Italy,BAR,26,37,1,+37,+37,BARDIANI CSF
91,Sonny COLBRELLI,Italy,BAR,25,37,1,+37,+37,BARDIANI CSF
92,Edoardo ZARDINI,Italy,BAR,26,37,1,+37,+37,BARDIANI CSF
93,Stefano PIRAZZI,Italy,BAR,28,37,1,+37,+37,BARDIANI CSF
94,Francesco Manuel BONGIORNO,Italy,BAR,25,37,1,+37,+37,BARDIANI CSF
95,Luca CHIRICO,Italy,BAR,23,37,1,+37,+37,BARDIANI CSF
96,Ivan BASSO,Italy,TCS,38,39,1,+39,+39,TINKOFF - SAXO
97,Clement CHEVRIER,France,IAM,23,43,1,+43,+43,IAM CYCLING
98,Marco COLEDAN,Italy,TFR,27,45,1,+45,+45,TREK FACTORY RACING
99,Bertjan LINDEMAN,Netherlands,TLJ,26,45,1,+45,+45,TEAM LOTTO NL - JUMBO
100,Sylwester SZMYD,Poland,CCC,37,45,1,+45,+45,CCC SPRANDI POLKOWICE
