Rank,Name,Country,Stage,Gap,Team
171,Bernhard EISEL,Austria,2,+4:03,TEAM SKY
172,Christopher SUTTON,Australia,2,+4:03,TEAM SKY
173,Evgeny PETROV,Russia,2,+4:04,TINKOFF - SAXO
174,Eugenio ALAFACI,Italy,2,+4:09,TREK FACTORY RACING
175,Igor ANTON HERNANDEZ,Spain,2,+4:15,MOVISTAR TEAM
176,Julien BERARD,France,2,+4:18,AG2R LA MONDIALE
177,Sander ARMEE,Belgium,2,+4:19,LOTTO
178,Dennis VANENDERT,Belgium,2,+4:21,LOTTO
179,Arnaud COURTEILLE,France,2,+4:26,FDJ
180,Sébastien CHAVANEL,France,2,+4:26,FDJ
181,Mitchell DOCKER,Australia,2,+4:36,ORICA GREENEDGE
182,David TANNER,Australia,2,+4:36,BELKIN
183,Robinson Eduardo CHALAPUD GOMEZ,Colombia,2,+4:40,COLOMBIA
184,Angelo TULIK,France,2,+4:48,TEAM EUROPCAR
185,Emanuele SELLA,Italy,2,+4:59,ANDRONI GIOCATTOLI - SIDERMEC
186,Matteo BONO,Italy,2,+5:11,LAMPRE - MERIDA
187,Eduard VORGANOV,Russia,2,+5:18,TEAM KATUSHA
188,Giampaolo CARUSO,Italy,2,+5:18,TEAM KATUSHA
189,Gert DOCKX,Belgium,2,+5:28,LOTTO
190,Kenny DE HAES,Belgium,2,+5:35,LOTTO
191,Jeffry Johan ROMERO CORREDOR,Colombia,2,+5:35,COLOMBIA
192,Michael HEPBURN,Australia,2,+5:55,ORICA GREENEDGE
193,Andre Fernando S. Martins CARDOSO,Portugal,2,+6:00,GARMIN
194,Nathan HAAS,Australia,2,+6:00,GARMIN
