altitude (m),StageNum,TotalDistance
554.2,17,3019.36313
621,17,3025.42857
709,17,3030.6234
825.8,17,3032.60388
943.8,17,3034.57059
1057.2,17,3035.94557
1168,17,3037.53017
1212.6,17,3039.3257
839,17,3043.99472
628.8,17,3048.48866
719,17,3051.55475
815.6,17,3053.79818
919,17,3055.24669
1026.4,17,3056.93271
1129,17,3058.41881
1237.2,17,3059.81199
1342,17,3061.2147
1449.4,17,3062.61602
1425.8,17,3065.12273
1060.2,17,3070.06449
958.6,17,3073.98619
1012.8,17,3077.2115
1119.8,17,3078.41699
1229.2,17,3079.57186
1338.4,17,3080.92223
1442.4,17,3082.4911
1546.4,17,3083.83835
1231.8,17,3088.38888
926.6,17,3092.1438
820,17,3096.39042
924,17,3097.69188
1031.2,17,3098.72619
1135.6,17,3099.76673
1240.2,17,3100.9501
1340.6,17,3102.33354
1453,17,3103.45492
1542.4,17,3105.23724
198.2,18,3107.29749
293,18,3111.26488
279,18,3114.31457
350,18,3116.5876
248,18,3122.35189
260.2,18,3130.0039
360,18,3132.42422
453,18,3134.24214
367,18,3140.43697
455.2,18,3143.58047
376,18,3149.65304
352.6,18,3155.71584
430,18,3160.3905
501.8,18,3162.51208
458,18,3166.87553
539.6,18,3172.25326
624,18,3177.20747
717.2,18,3181.19001
823.6,18,3183.91681
924.2,18,3186.81333
1036.8,18,3189.0386
1147.4,18,3190.48715
1255.2,18,3191.83301
1363.2,18,3193.16974
1470,18,3194.48365
1577.2,18,3195.73471
1685.8,18,3196.91458
1791.6,18,3198.14382
1899.2,18,3199.42192
2010,18,3200.64276
1858.2,18,3203.52677
1524,18,3208.01385
1200.2,18,3212.80622
873,18,3217.41719
651.8,18,3222.18993
596.4,18,3228.18558
478.8,18,3233.94693
479.6,18,3238.84023
546.6,18,3240.75218
653.4,18,3242.16767
758.4,18,3243.49689
854.8,18,3245.14236
956,18,3246.32243
1060.6,18,3247.37728
1163.8,18,3248.61303
1266.2,18,3249.92395
1371.8,18,3251.09814
1471.8,18,3252.47652
162.6,19,3257.11026
152.6,19,3262.52456
206.6,19,3266.11155
222.4,19,3269.5497
266.6,19,3273.78356
249.2,19,3278.76117
180.4,19,3283.6019
187,19,3287.59262
170,19,3291.85217
211.8,19,3296.8961
206.4,19,3305.36295
209.6,19,3313.33537
169.8,19,3320.84483
116.8,19,3328.07077
128.6,19,3338.62436
122.4,19,3348.93757
97.2,19,3357.69748
77.6,19,3367.53711
50.4,19,3376.8205
35.6,19,3386.33545
-28.6,19,3392.82275
-2.8,19,3399.44964
34.6,19,3408.15624
41.6,19,3418.64905
31.8,19,3428.81609
38.4,19,3438.57022
56.6,19,3446.15116
64.8,19,3452.80715
29,20,3460.95974
39.6,20,3464.04734
45.4,20,3467.0968
61,20,3470.13816
93.8,20,3472.96964
150.6,20,3475.39866
165.6,20,3478.3206
97.8,20,3481.99661
121.8,20,3484.74763
161,20,3487.50876
140.8,20,3490.55958
105.8,20,3494.11806
139,20,3496.87077
203.6,20,3499.23347
197.6,20,3502.31275
111,20,3506.17196
190.8,20,3508.12539
132.6,20,3511.35894
59.2,21,3515.18793
57,21,3522.41132
67.6,21,3530.64114
76,21,3535.33764
97.8,21,3541.01679
148.8,21,3545.10098
76.8,21,3551.42103
54.2,21,3555.79916
138,21,3558.85353
87.6,21,3565.22484
41.2,21,3571.81161
103.8,21,3575.50428
149,21,3580.59848
22.8,21,3585.72916
22.8,21,3593.88602
20.8,21,3601.25846
12.8,21,3608.02586
18,21,3614.94695
16.4,21,3621.63621
14.4,21,3628.69122
13.8,21,3635.12903
13.2,21,3641.93388
10,21,3647.90747
