Name,Country,Team,Stage,Rank,Total Time,Gap,gap(s)
DENNIS Rohan,AUS,BMC RACING TEAM,1,1,14' 56'',0,0
MARTIN Tony,GER,ETIXX-QUICK STEP,1,2,15' 01'',+ 00' 05'',5
CANCELLARA Fabian,SUI,TREK FACTORY RACING,1,3,15' 02'',+ 00' 06'',6
DUMOULIN Tom,NED,TEAM GIANT-ALPECIN,1,4,15' 04'',+ 00' 08'',8
VAN EMDEN Jos,NED,TEAM LOTTO NL - JUMBO,1,5,15' 11'',+ 00' 15'',15
CASTROVIEJO NICOLAS Jonathan,ESP,MOVISTAR TEAM,1,6,15' 19'',+ 00' 23'',23
BRÄNDLE Matthias,AUT,IAM CYCLING,1,7,15' 19'',+ 00' 23'',23
MALORI Adriano,ITA,MOVISTAR TEAM,1,8,15' 25'',+ 00' 29'',29
KELDERMAN Wilco,NED,TEAM LOTTO NL - JUMBO,1,9,15' 26'',+ 00' 30'',30
CUMMINGS Stephen,GBR,MTN-QHUBEKA,1,10,15' 28'',+ 00' 32'',32
GESINK Robert,NED,TEAM LOTTO NL - JUMBO,1,11,15' 29'',+ 00' 33'',33
THOMAS Geraint,GBR,TEAM SKY,1,12,15' 29'',+ 00' 33'',33
DOWSETT Alex,GBR,MOVISTAR TEAM,1,13,15' 32'',+ 00' 36'',36
MOLLEMA Bauke,NED,TREK FACTORY RACING,1,14,15' 33'',+ 00' 37'',37
JUNGELS Bob,LUX,TREK FACTORY RACING,1,15,15' 34'',+ 00' 38'',38
VAN BAARLE Dylan,NED,TEAM CANNONDALE-GARMIN,1,16,15' 34'',+ 00' 38'',38
URAN URAN Rigoberto,COL,ETIXX-QUICK STEP,1,17,15' 36'',+ 00' 40'',40
PINOT Thibaut,FRA,FDJ,1,18,15' 37'',+ 00' 41'',41
SAGAN Peter,SVK,TINKOFF-SAXO,1,19,15' 37'',+ 00' 41'',41
VAN GARDEREN Tejay,USA,BMC RACING TEAM,1,20,15' 38'',+ 00' 42'',42
KONIG Leopold,CZE,TEAM SKY,1,21,15' 39'',+ 00' 43'',43
NIBALI Vincenzo,ITA,ASTANA PRO TEAM,1,22,15' 39'',+ 00' 43'',43
BOOM Lars,NED,ASTANA PRO TEAM,1,23,15' 40'',+ 00' 44'',44
OSS Daniel,ITA,BMC RACING TEAM,1,24,15' 40'',+ 00' 44'',44
TUFT Svein,CAN,ORICA GREENEDGE,1,25,15' 41'',+ 00' 45'',45
DEGENKOLB John,GER,TEAM GIANT-ALPECIN,1,26,15' 41'',+ 00' 45'',45
WESTRA Lieuwe,NED,ASTANA PRO TEAM,1,27,15' 41'',+ 00' 45'',45
STYBAR Zdenek,CZE,ETIXX-QUICK STEP,1,28,15' 41'',+ 00' 45'',45
CHAVANEL Sylvain,FRA,IAM CYCLING,1,29,15' 41'',+ 00' 45'',45
TAARAMÄE Rein,EST,ASTANA PRO TEAM,1,30,15' 41'',+ 00' 45'',45
KRUIJSWIJK Steven,NED,TEAM LOTTO NL - JUMBO,1,31,15' 41'',+ 00' 45'',45
DURBRIDGE Luke,AUS,ORICA GREENEDGE,1,32,15' 42'',+ 00' 46'',46
YATES Simon,GBR,ORICA GREENEDGE,1,33,15' 42'',+ 00' 46'',46
ROGERS Michael,AUS,TINKOFF-SAXO,1,34,15' 43'',+ 00' 47'',47
ROY Jérémy,FRA,FDJ,1,35,15' 43'',+ 00' 47'',47
