Name,Country,Team,Stage,Rank,Total Time,Gap,gap(s)
VAN BAARLE Dylan,NED,TEAM CANNONDALE-GARMIN,16,162,67h 38' 57'',+ 02h 51' 41'',10301
BRÄNDLE Matthias,AUT,IAM CYCLING,16,163,67h 39' 04'',+ 02h 51' 48'',10308
VANBILSEN KENNETH,BEL,"COFIDIS, SOLUTIONS CREDITS",16,164,67h 42' 55'',+ 02h 55' 39'',10539
MATTHEWS Michael,AUS,ORICA GREENEDGE,16,165,67h 45' 08'',+ 02h 57' 52'',10672
NAULLEAU BRYAN,FRA,TEAM EUROPCAR,16,166,67h 49' 19'',+ 03h 02' 03'',10923
TUFT Svein,CAN,ORICA GREENEDGE,16,167,67h 49' 36'',+ 03h 02' 20'',10940
CHAVANEL Sébastien,FRA,FDJ,16,168,67h 58' 27'',+ 03h 11' 11'',11471
BENNETT Sam,IRL,BORA-ARGON 18,16,169,68h 14' 29'',+ 03h 27' 13'',12433
FROOME Christopher,GBR,TEAM SKY,17,1,69h 06' 49'',0,0
QUINTANA ROJAS Nairo Alexander,COL,MOVISTAR TEAM,17,2,69h 09' 59'',+ 03' 10'',190
VALVERDE BELMONTE Alejandro,ESP,MOVISTAR TEAM,17,3,69h 10' 58'',+ 04' 09'',249
THOMAS Geraint,GBR,TEAM SKY,17,4,69h 13' 23'',+ 06' 34'',394
CONTADOR Alberto,ESP,TINKOFF-SAXO,17,5,69h 13' 29'',+ 06' 40'',400
GESINK Robert,NED,TEAM LOTTO NL - JUMBO,17,6,69h 14' 28'',+ 07' 39'',459
NIBALI Vincenzo,ITA,ASTANA PRO TEAM,17,7,69h 14' 53'',+ 08' 04'',484
FRANK Mathias,SUI,IAM CYCLING,17,8,69h 15' 36'',+ 08' 47'',527
MOLLEMA Bauke,NED,TREK FACTORY RACING,17,9,69h 18' 36'',+ 11' 47'',707
BARGUIL WARREN,FRA,TEAM GIANT-ALPECIN,17,10,69h 19' 57'',+ 13' 08'',788
BARDET Romain,FRA,AG2R LA MONDIALE,17,11,69h 22' 53'',+ 16' 04'',964
TALANSKY Andrew,USA,TEAM CANNONDALE-GARMIN,17,12,69h 23' 14'',+ 16' 25'',985
SANCHEZ Samuel,ESP,BMC RACING TEAM,17,13,69h 24' 41'',+ 17' 52'',1072
ROLLAND Pierre,FRA,TEAM EUROPCAR,17,14,69h 25' 26'',+ 18' 37'',1117
PAUWELS Serge,BEL,MTN-QHUBEKA,17,15,69h 26' 56'',+ 20' 07'',1207
GALLOPIN Tony,FRA,LOTTO-SOUDAL,17,16,69h 27' 01'',+ 20' 12'',1212
PANTANO GOMEZ Jarlinson,COL,IAM CYCLING,17,17,69h 28' 03'',+ 21' 14'',1274
PINOT Thibaut,FRA,FDJ,17,18,69h 33' 03'',+ 26' 14'',1574
BAKELANTS Jan,BEL,AG2R LA MONDIALE,17,19,69h 46' 11'',+ 39' 22'',2362
IZAGIRRE INSAUSTI Gorka,ESP,MOVISTAR TEAM,17,20,69h 47' 37'',+ 40' 48'',2448
VUILLERMOZ Alexis,FRA,AG2R LA MONDIALE,17,21,69h 49' 20'',+ 42' 31'',2551
KREUZIGER Roman,CZE,TINKOFF-SAXO,17,22,69h 51' 23'',+ 44' 34'',2674
CHEREL Mikael,FRA,AG2R LA MONDIALE,17,23,69h 52' 01'',+ 45' 12'',2712
CASTROVIEJO NICOLAS Jonathan,ESP,MOVISTAR TEAM,17,24,69h 52' 23'',+ 45' 34'',2734
GESCHKE Simon,GER,TEAM GIANT-ALPECIN,17,25,69h 53' 04'',+ 46' 15'',2775
FUGLSANG Jakob,DEN,ASTANA PRO TEAM,17,26,69h 56' 14'',+ 49' 25'',2965
URAN URAN Rigoberto,COL,ETIXX-QUICK STEP,17,27,70h 03' 42'',+ 56' 53'',3413
KANGERT Tanel,EST,ASTANA PRO TEAM,17,28,70h 07' 26'',+ 01h 00' 37'',3637
SAGAN Peter,SVK,TINKOFF-SAXO,17,29,70h 08' 24'',+ 01h 01' 35'',3695
RODRIGUEZ OLIVER Joaquin,ESP,TEAM KATUSHA,17,30,70h 09' 08'',+ 01h 02' 19'',3739
BARTA Jan,CZE,BORA-ARGON 18,17,31,70h 09' 50'',+ 01h 03' 01'',3781
BAK Lars,DEN,LOTTO-SOUDAL,17,32,70h 11' 15'',+ 01h 04' 26'',3866
KRUIJSWIJK Steven,NED,TEAM LOTTO NL - JUMBO,17,33,70h 11' 28'',+ 01h 04' 39'',3879
ROGERS Michael,AUS,TINKOFF-SAXO,17,34,70h 13' 51'',+ 01h 07' 02'',4022
ROCHE Nicolas,IRL,TEAM SKY,17,35,70h 15' 47'',+ 01h 08' 58'',4138
JUNGELS Bob,LUX,TREK FACTORY RACING,17,36,70h 20' 22'',+ 01h 13' 33'',4413
YATES Adam,GBR,ORICA GREENEDGE,17,37,70h 21' 40'',+ 01h 14' 51'',4491
SICARD Romain,FRA,TEAM EUROPCAR,17,38,70h 22' 00'',+ 01h 15' 11'',4511
MATE MARDONES Luis Angel,ESP,"COFIDIS, SOLUTIONS CREDITS",17,39,70h 29' 10'',+ 01h 22' 21'',4941
LOSADA ALGUACIL Alberto,ESP,TEAM KATUSHA,17,40,70h 29' 15'',+ 01h 22' 26'',4946
TEKLEHAIMANOT Daniel,ERI,MTN-QHUBEKA,17,41,70h 29' 42'',+ 01h 22' 53'',4973
ZUBELDIA AGIRRE Haimar,ESP,TREK FACTORY RACING,17,42,70h 32' 06'',+ 01h 25' 17'',5117
MARTIN Daniel,IRL,TEAM CANNONDALE-GARMIN,17,43,70h 32' 22'',+ 01h 25' 33'',5133
GAUTIER Cyril,FRA,TEAM EUROPCAR,17,44,70h 33' 16'',+ 01h 26' 27'',5187
GRIVKO Andriy,UKR,ASTANA PRO TEAM,17,45,70h 33' 22'',+ 01h 26' 33'',5193
MAJKA Rafal,POL,TINKOFF-SAXO,17,46,70h 33' 40'',+ 01h 26' 51'',5211
TANKINK Bram,NED,TEAM LOTTO NL - JUMBO,17,47,70h 34' 56'',+ 01h 28' 07'',5287
PLAZA MOLINA Ruben,ESP,LAMPRE - MERIDA,17,48,70h 38' 06'',+ 01h 31' 17'',5477
PORTE Richie,AUS,TEAM SKY,17,49,70h 39' 13'',+ 01h 32' 24'',5544
VOECKLER Thomas,FRA,TEAM EUROPCAR,17,50,70h 39' 35'',+ 01h 32' 46'',5566
JANSE VAN RENSBURG Jacques,RSA,MTN-QHUBEKA,17,51,70h 39' 36'',+ 01h 32' 47'',5567
OLIVEIRA Nelson,POR,LAMPRE - MERIDA,17,52,70h 39' 46'',+ 01h 32' 57'',5577
CHAVANEL Sylvain,FRA,IAM CYCLING,17,53,70h 40' 00'',+ 01h 33' 11'',5591
SCHÄR Michael,SUI,BMC RACING TEAM,17,54,70h 42' 39'',+ 01h 35' 50'',5750
NAVARRO GARCIA Daniel,ESP,"COFIDIS, SOLUTIONS CREDITS",17,55,70h 43' 01'',+ 01h 36' 12'',5772
HESJEDAL Ryder,CAN,TEAM CANNONDALE-GARMIN,17,56,70h 46' 07'',+ 01h 39' 18'',5958
PÉRAUD Jean-Christophe,FRA,AG2R LA MONDIALE,17,57,70h 46' 12'',+ 01h 39' 23'',5963
KOREN Kristijan,SLO,TEAM CANNONDALE-GARMIN,17,58,70h 47' 00'',+ 01h 40' 11'',6011
FEDRIGO Pierrick,FRA,BRETAGNE - SECHE ENVIRONNEMENT,17,59,70h 49' 19'',+ 01h 42' 30'',6150
WYSS Marcel,SUI,IAM CYCLING,17,60,70h 50' 54'',+ 01h 44' 05'',6245
MACHADO Tiago,POR,TEAM KATUSHA,17,61,70h 51' 16'',+ 01h 44' 27'',6267
DE KORT Koen,NED,TEAM GIANT-ALPECIN,17,62,70h 53' 11'',+ 01h 46' 22'',6382
LADAGNOUS Matthieu,FRA,FDJ,17,63,70h 54' 18'',+ 01h 47' 29'',6449
BOASSON HAGEN Edvald,NOR,MTN-QHUBEKA,17,64,70h 54' 19'',+ 01h 47' 30'',6450
HERRADA LOPEZ José,ESP,MOVISTAR TEAM,17,65,70h 54' 58'',+ 01h 48' 09'',6489
BUCHMANN Emanuel,GER,BORA-ARGON 18,17,66,70h 55' 40'',+ 01h 48' 51'',6531
CARUSO Damiano,ITA,BMC RACING TEAM,17,67,70h 55' 55'',+ 01h 49' 06'',6546
SCARPONI Michele,ITA,ASTANA PRO TEAM,17,68,70h 57' 40'',+ 01h 50' 51'',6651
WYSS Danilo,SUI,BMC RACING TEAM,17,69,70h 58' 16'',+ 01h 51' 27'',6687
POELS Wouter,NED,TEAM SKY,17,70,71h 00' 29'',+ 01h 53' 40'',6820
DURASEK Kristijan,CRO,LAMPRE - MERIDA,17,71,71h 00' 30'',+ 01h 53' 41'',6821
KELDERMAN Wilco,NED,TEAM LOTTO NL - JUMBO,17,72,71h 00' 40'',+ 01h 53' 51'',6831
TEN DAM Laurens,NED,TEAM LOTTO NL - JUMBO,17,73,71h 02' 22'',+ 01h 55' 33'',6933
CLEMENT Stef,NED,IAM CYCLING,17,74,71h 02' 34'',+ 01h 55' 45'',6945
GOLAS Michal,POL,ETIXX-QUICK STEP,17,75,71h 04' 56'',+ 01h 58' 07'',7087
MARTENS Paul,GER,TEAM LOTTO NL - JUMBO,17,76,71h 05' 38'',+ 01h 58' 49'',7129
RIBLON Christophe,FRA,AG2R LA MONDIALE,17,77,71h 05' 50'',+ 01h 59' 01'',7141
QUEMENEUR Perrig,FRA,TEAM EUROPCAR,17,78,71h 06' 21'',+ 01h 59' 32'',7172
WESTRA Lieuwe,NED,ASTANA PRO TEAM,17,79,71h 06' 49'',+ 02h 00' 00'',7200
HOLLENSTEIN Reto,SUI,IAM CYCLING,17,80,71h 08' 11'',+ 02h 01' 22'',7282
VALLS FERRI Rafael,ESP,LAMPRE - MERIDA,17,81,71h 09' 55'',+ 02h 03' 06'',7386
FEILLU Brice,FRA,BRETAGNE - SECHE ENVIRONNEMENT,17,82,71h 10' 04'',+ 02h 03' 15'',7395
ANACONA GOMEZ Winner Andrew,COL,MOVISTAR TEAM,17,83,71h 11' 14'',+ 02h 04' 25'',7465
IRIZAR ARRANBURU Markel,ESP,TREK FACTORY RACING,17,84,71h 11' 46'',+ 02h 04' 57'',7497
TULIK ANGÉLO,FRA,TEAM EUROPCAR,17,85,71h 11' 53'',+ 02h 05' 04'',7504
PERICHON Pierre-Luc,FRA,BRETAGNE - SECHE ENVIRONNEMENT,17,86,71h 12' 15'',+ 02h 05' 26'',7526
SIMON Julien,FRA,"COFIDIS, SOLUTIONS CREDITS",17,87,71h 12' 55'',+ 02h 06' 06'',7566
STYBAR Zdenek,CZE,ETIXX-QUICK STEP,17,88,71h 13' 52'',+ 02h 07' 03'',7623
KONIG Leopold,CZE,TEAM SKY,17,89,71h 13' 56'',+ 02h 07' 07'',7627
DE GENDT Thomas,BEL,LOTTO-SOUDAL,17,90,71h 14' 15'',+ 02h 07' 26'',7646
DELAPLACE Anthony,FRA,BRETAGNE - SECHE ENVIRONNEMENT,17,91,71h 17' 03'',+ 02h 10' 14'',7814
KUDUS GHEBREMEDHIN Merhawi,ERI,MTN-QHUBEKA,17,92,71h 18' 07'',+ 02h 11' 18'',7878
PREIDLER Georg,AUT,TEAM GIANT-ALPECIN,17,93,71h 18' 14'',+ 02h 11' 25'',7885
VOSS Paul,GER,BORA-ARGON 18,17,94,71h 18' 22'',+ 02h 11' 33'',7893
CUMMINGS Stephen,GBR,MTN-QHUBEKA,17,95,71h 21' 18'',+ 02h 14' 29'',8069
CURVERS Roy,NED,TEAM GIANT-ALPECIN,17,96,71h 23' 23'',+ 02h 16' 34'',8194
JANSE VAN RENSBURG Reinardt,RSA,MTN-QHUBEKA,17,97,71h 23' 32'',+ 02h 16' 43'',8203
RAST Gregory,SUI,TREK FACTORY RACING,17,98,71h 23' 40'',+ 02h 16' 51'',8211
DEGENKOLB John,GER,TEAM GIANT-ALPECIN,17,99,71h 23' 58'',+ 02h 17' 09'',8229
DENNIS Rohan,AUS,BMC RACING TEAM,17,100,71h 24' 43'',+ 02h 17' 54'',8274
MEINTJES Louis,RSA,MTN-QHUBEKA,17,101,71h 24' 43'',+ 02h 17' 54'',8274
CARUSO Gianpaolo,ITA,TEAM KATUSHA,17,102,71h 24' 53'',+ 02h 18' 04'',8284
MALORI Adriano,ITA,MOVISTAR TEAM,17,103,71h 26' 14'',+ 02h 19' 25'',8365
ROY Jérémy,FRA,FDJ,17,104,71h 27' 28'',+ 02h 20' 39'',8439
VACHON Florian,FRA,BRETAGNE - SECHE ENVIRONNEMENT,17,105,71h 27' 50'',+ 02h 21' 01'',8461
OSS Daniel,ITA,BMC RACING TEAM,17,106,71h 28' 07'',+ 02h 21' 18'',8478
VANMARCKE Sep,BEL,TEAM LOTTO NL - JUMBO,17,107,71h 28' 24'',+ 02h 21' 35'',8495
HUZARSKI Bartosz,POL,BORA-ARGON 18,17,108,71h 28' 40'',+ 02h 21' 51'',8511
ELMIGER Martin,SUI,IAM CYCLING,17,109,71h 29' 32'',+ 02h 22' 43'',8563
VAUGRENARD Benoît,FRA,FDJ,17,110,71h 30' 01'',+ 02h 23' 12'',8592
VERMOTE Julien,BEL,ETIXX-QUICK STEP,17,111,71h 34' 11'',+ 02h 27' 22'',8842
TRENTIN Matteo,ITA,ETIXX-QUICK STEP,17,112,71h 34' 38'',+ 02h 27' 49'',8869
COQUARD Bryan,FRA,TEAM EUROPCAR,17,113,71h 36' 11'',+ 02h 29' 22'',8962
FONSECA Armindo,FRA,BRETAGNE - SECHE ENVIRONNEMENT,17,114,71h 36' 52'',+ 02h 30' 03'',9003
ANDERSEN Michael Valgren,DEN,TINKOFF-SAXO,17,115,71h 37' 22'',+ 02h 30' 33'',9033
YATES Simon,GBR,ORICA GREENEDGE,17,116,71h 37' 41'',+ 02h 30' 52'',9052
SOUPE GEOFFREY,FRA,"COFIDIS, SOLUTIONS CREDITS",17,117,71h 40' 45'',+ 02h 33' 56'',9236
VAN EMDEN Jos,NED,TEAM LOTTO NL - JUMBO,17,118,71h 42' 03'',+ 02h 35' 14'',9314
HANSEN Adam,AUS,LOTTO-SOUDAL,17,119,71h 43' 40'',+ 02h 36' 51'',9411
KRISTOFF Alexander,NOR,TEAM KATUSHA,17,120,71h 44' 49'',+ 02h 38' 00'',9480
POZZATO Filippo,ITA,LAMPRE - MERIDA,17,121,71h 45' 13'',+ 02h 38' 24'',9504
HALLER Marco,AUT,TEAM KATUSHA,17,122,71h 45' 21'',+ 02h 38' 32'',9512
GENIEZ Alexandre,FRA,FDJ,17,123,71h 46' 13'',+ 02h 39' 24'',9564
GREIPEL André,GER,LOTTO-SOUDAL,17,124,71h 47' 17'',+ 02h 40' 28'',9628
LAPORTE Christophe,FRA,"COFIDIS, SOLUTIONS CREDITS",17,125,71h 47' 20'',+ 02h 40' 31'',9631
TOSATTO Matteo,ITA,TINKOFF-SAXO,17,126,71h 48' 08'',+ 02h 41' 19'',9679
QUINZIATO Manuel,ITA,BMC RACING TEAM,17,127,71h 48' 37'',+ 02h 41' 48'',9708
DEMARE Arnaud,FRA,FDJ,17,128,71h 49' 07'',+ 02h 42' 18'',9738
ARREDONDO MORENO Julian,COL,TREK FACTORY RACING,17,129,71h 50' 02'',+ 02h 43' 13'',9793
BONO Matteo,ITA,LAMPRE - MERIDA,17,130,71h 50' 33'',+ 02h 43' 44'',9824
GENE Yohann,FRA,TEAM EUROPCAR,17,131,71h 51' 49'',+ 02h 45' 00'',9900
SENECHAL Florian,FRA,"COFIDIS, SOLUTIONS CREDITS",17,132,71h 52' 38'',+ 02h 45' 49'',9949
GERARD Arnaud,FRA,BRETAGNE - SECHE ENVIRONNEMENT,17,133,71h 53' 16'',+ 02h 46' 27'',9987
SERPA SANTANDER José,COL,LAMPRE - MERIDA,17,134,71h 53' 57'',+ 02h 47' 08'',10028
TIMMER Albert,NED,TEAM GIANT-ALPECIN,17,135,71h 54' 16'',+ 02h 47' 27'',10047
STANNARD Ian,GBR,TEAM SKY,17,136,71h 54' 53'',+ 02h 48' 04'',10084
WELLENS Tim,BEL,LOTTO-SOUDAL,17,137,71h 54' 55'',+ 02h 48' 06'',10086
CAVENDISH Mark,GBR,ETIXX-QUICK STEP,17,138,71h 55' 44'',+ 02h 48' 55'',10135
GRUZDEV Dmitriy,KAZ,ASTANA PRO TEAM,17,139,71h 56' 28'',+ 02h 49' 39'',10179
ERVITI OLLO Imanol,ESP,MOVISTAR TEAM,17,140,71h 57' 08'',+ 02h 50' 19'',10219
EDET Nicolas,FRA,"COFIDIS, SOLUTIONS CREDITS",17,141,71h 57' 30'',+ 02h 50' 41'',10241
ROWE Luke,GBR,TEAM SKY,17,142,72h 00' 01'',+ 02h 53' 12'',10392
DEBUSSCHERE Jens,BEL,LOTTO-SOUDAL,17,143,72h 00' 21'',+ 02h 53' 32'',10412
PIMANTA COSTA MENDES José Joao,POR,BORA-ARGON 18,17,144,72h 00' 43'',+ 02h 53' 54'',10434
GAUDIN Damien,FRA,AG2R LA MONDIALE,17,145,72h 02' 30'',+ 02h 55' 41'',10541
GUARNIERI Jacopo,ITA,TEAM KATUSHA,17,146,72h 04' 41'',+ 02h 57' 52'',10672
BRUN Fréderic,FRA,BRETAGNE - SECHE ENVIRONNEMENT,17,147,72h 05' 48'',+ 02h 58' 59'',10739
NAVARDAUSKAS Ramunas,LTU,TEAM CANNONDALE-GARMIN,17,148,72h 07' 11'',+ 03h 00' 22'',10822
SIEBERG Marcel,GER,LOTTO-SOUDAL,17,149,72h 08' 31'',+ 03h 01' 42'',10902
DURBRIDGE Luke,AUS,ORICA GREENEDGE,17,150,72h 08' 42'',+ 03h 01' 53'',10913
LEEZER Thomas,NED,TEAM LOTTO NL - JUMBO,17,151,72h 10' 26'',+ 03h 03' 37'',11017
WEENING Pieter,NED,ORICA GREENEDGE,17,152,72h 10' 38'',+ 03h 03' 49'',11029
VAN BAARLE Dylan,NED,TEAM CANNONDALE-GARMIN,17,153,72h 12' 19'',+ 03h 05' 30'',11130
RENSHAW Mark,AUS,ETIXX-QUICK STEP,17,154,72h 14' 40'',+ 03h 07' 51'',11271
DEVOLDER Stijn,BEL,TREK FACTORY RACING,17,155,72h 14' 47'',+ 03h 07' 58'',11278
FARRAR Tyler,USA,MTN-QHUBEKA,17,156,72h 16' 11'',+ 03h 09' 22'',11362
CIMOLAI Davide,ITA,LAMPRE - MERIDA,17,157,72h 19' 38'',+ 03h 12' 49'',11569
BRÄNDLE Matthias,AUT,IAM CYCLING,17,158,72h 21' 15'',+ 03h 14' 26'',11666
VANBILSEN KENNETH,BEL,"COFIDIS, SOLUTIONS CREDITS",17,159,72h 25' 06'',+ 03h 18' 17'',11897
NAULLEAU BRYAN,FRA,TEAM EUROPCAR,17,160,72h 27' 05'',+ 03h 20' 16'',12016
MATTHEWS Michael,AUS,ORICA GREENEDGE,17,161,72h 27' 19'',+ 03h 20' 30'',12030
TUFT Svein,CAN,ORICA GREENEDGE,17,162,72h 31' 47'',+ 03h 24' 58'',12298
CHAVANEL Sébastien,FRA,FDJ,17,163,72h 40' 38'',+ 03h 33' 49'',12829
FROOME Christopher,GBR,TEAM SKY,18,1,74h 13' 31'',0,0
QUINTANA ROJAS Nairo Alexander,COL,MOVISTAR TEAM,18,2,74h 16' 41'',+ 03' 10'',190
VALVERDE BELMONTE Alejandro,ESP,MOVISTAR TEAM,18,3,74h 17' 40'',+ 04' 09'',249
THOMAS Geraint,GBR,TEAM SKY,18,4,74h 20' 05'',+ 06' 34'',394
CONTADOR Alberto,ESP,TINKOFF-SAXO,18,5,74h 20' 11'',+ 06' 40'',400
GESINK Robert,NED,TEAM LOTTO NL - JUMBO,18,6,74h 21' 10'',+ 07' 39'',459
NIBALI Vincenzo,ITA,ASTANA PRO TEAM,18,7,74h 21' 35'',+ 08' 04'',484
FRANK Mathias,SUI,IAM CYCLING,18,8,74h 22' 18'',+ 08' 47'',527
MOLLEMA Bauke,NED,TREK FACTORY RACING,18,9,74h 25' 37'',+ 12' 06'',726
BARDET Romain,FRA,AG2R LA MONDIALE,18,10,74h 26' 23'',+ 12' 52'',772
BARGUIL WARREN,FRA,TEAM GIANT-ALPECIN,18,11,74h 26' 39'',+ 13' 08'',788
TALANSKY Andrew,USA,TEAM CANNONDALE-GARMIN,18,12,74h 28' 49'',+ 15' 18'',918
ROLLAND Pierre,FRA,TEAM EUROPCAR,18,13,74h 29' 33'',+ 16' 02'',962
PAUWELS Serge,BEL,MTN-QHUBEKA,18,14,74h 31' 37'',+ 18' 06'',1086
SANCHEZ Samuel,ESP,BMC RACING TEAM,18,15,74h 31' 42'',+ 18' 11'',1091
PINOT Thibaut,FRA,FDJ,18,16,74h 52' 55'',+ 39' 24'',2364
PANTANO GOMEZ Jarlinson,COL,IAM CYCLING,18,17,74h 59' 11'',+ 45' 40'',2740
FUGLSANG Jakob,DEN,ASTANA PRO TEAM,18,18,75h 00' 53'',+ 47' 22'',2842
CHEREL Mikael,FRA,AG2R LA MONDIALE,18,19,75h 02' 26'',+ 48' 55'',2935
KREUZIGER Roman,CZE,TINKOFF-SAXO,18,20,75h 04' 25'',+ 50' 54'',3054
BAKELANTS Jan,BEL,AG2R LA MONDIALE,18,21,75h 05' 02'',+ 51' 31'',3091
CASTROVIEJO NICOLAS Jonathan,ESP,MOVISTAR TEAM,18,22,75h 05' 03'',+ 51' 32'',3092
GALLOPIN Tony,FRA,LOTTO-SOUDAL,18,23,75h 06' 32'',+ 53' 01'',3181
IZAGIRRE INSAUSTI Gorka,ESP,MOVISTAR TEAM,18,24,75h 07' 22'',+ 53' 51'',3231
KANGERT Tanel,EST,ASTANA PRO TEAM,18,25,75h 17' 38'',+ 01h 04' 07'',3847
BARTA Jan,CZE,BORA-ARGON 18,18,26,75h 22' 49'',+ 01h 09' 18'',4158
JUNGELS Bob,LUX,TREK FACTORY RACING,18,27,75h 25' 01'',+ 01h 11' 30'',4290
KRUIJSWIJK Steven,NED,TEAM LOTTO NL - JUMBO,18,28,75h 26' 11'',+ 01h 12' 40'',4360
RODRIGUEZ OLIVER Joaquin,ESP,TEAM KATUSHA,18,29,75h 27' 14'',+ 01h 13' 43'',4423
VUILLERMOZ Alexis,FRA,AG2R LA MONDIALE,18,30,75h 28' 51'',+ 01h 15' 20'',4520
GESCHKE Simon,GER,TEAM GIANT-ALPECIN,18,31,75h 32' 35'',+ 01h 19' 04'',4744
ROCHE Nicolas,IRL,TEAM SKY,18,32,75h 35' 08'',+ 01h 21' 37'',4897
ROGERS Michael,AUS,TINKOFF-SAXO,18,33,75h 36' 15'',+ 01h 22' 44'',4964
GAUTIER Cyril,FRA,TEAM EUROPCAR,18,34,75h 38' 46'',+ 01h 25' 15'',5115
BAK Lars,DEN,LOTTO-SOUDAL,18,35,75h 42' 23'',+ 01h 28' 52'',5332
MAJKA Rafal,POL,TINKOFF-SAXO,18,36,75h 42' 53'',+ 01h 29' 22'',5362
URAN URAN Rigoberto,COL,ETIXX-QUICK STEP,18,37,75h 43' 13'',+ 01h 29' 42'',5382
SICARD Romain,FRA,TEAM EUROPCAR,18,38,75h 44' 24'',+ 01h 30' 53'',5453
PLAZA MOLINA Ruben,ESP,LAMPRE - MERIDA,18,39,75h 46' 58'',+ 01h 33' 27'',5607
SAGAN Peter,SVK,TINKOFF-SAXO,18,40,75h 47' 55'',+ 01h 34' 24'',5664
MATE MARDONES Luis Angel,ESP,"COFIDIS, SOLUTIONS CREDITS",18,41,75h 49' 46'',+ 01h 36' 15'',5775
JANSE VAN RENSBURG Jacques,RSA,MTN-QHUBEKA,18,42,75h 51' 16'',+ 01h 37' 45'',5865
VOECKLER Thomas,FRA,TEAM EUROPCAR,18,43,75h 52' 34'',+ 01h 39' 03'',5943
MARTIN Daniel,IRL,TEAM CANNONDALE-GARMIN,18,44,75h 53' 13'',+ 01h 39' 42'',5982
TANKINK Bram,NED,TEAM LOTTO NL - JUMBO,18,45,75h 57' 20'',+ 01h 43' 49'',6229
OLIVEIRA Nelson,POR,LAMPRE - MERIDA,18,46,75h 58' 17'',+ 01h 44' 46'',6286
HESJEDAL Ryder,CAN,TEAM CANNONDALE-GARMIN,18,47,75h 58' 19'',+ 01h 44' 48'',6288
YATES Adam,GBR,ORICA GREENEDGE,18,48,75h 59' 52'',+ 01h 46' 21'',6381
CARUSO Damiano,ITA,BMC RACING TEAM,18,49,76h 01' 25'',+ 01h 47' 54'',6474
PORTE Richie,AUS,TEAM SKY,18,50,76h 01' 37'',+ 01h 48' 06'',6486
ZUBELDIA AGIRRE Haimar,ESP,TREK FACTORY RACING,18,51,76h 03' 14'',+ 01h 49' 43'',6583
SCARPONI Michele,ITA,ASTANA PRO TEAM,18,52,76h 04' 22'',+ 01h 50' 51'',6651
GRIVKO Andriy,UKR,ASTANA PRO TEAM,18,53,76h 04' 30'',+ 01h 50' 59'',6659
SCHÄR Michael,SUI,BMC RACING TEAM,18,54,76h 05' 03'',+ 01h 51' 32'',6692
PÉRAUD Jean-Christophe,FRA,AG2R LA MONDIALE,18,55,76h 08' 36'',+ 01h 55' 05'',6905
LOSADA ALGUACIL Alberto,ESP,TEAM KATUSHA,18,56,76h 08' 46'',+ 01h 55' 15'',6915
TEKLEHAIMANOT Daniel,ERI,MTN-QHUBEKA,18,57,76h 09' 13'',+ 01h 55' 42'',6942
WYSS Marcel,SUI,IAM CYCLING,18,58,76h 13' 18'',+ 01h 59' 47'',7187
ANACONA GOMEZ Winner Andrew,COL,MOVISTAR TEAM,18,59,76h 15' 49'',+ 02h 02' 18'',7338
WYSS Danilo,SUI,BMC RACING TEAM,18,60,76h 16' 47'',+ 02h 03' 16'',7396
KOREN Kristijan,SLO,TEAM CANNONDALE-GARMIN,18,61,76h 18' 08'',+ 02h 04' 37'',7477
CHAVANEL Sylvain,FRA,IAM CYCLING,18,62,76h 19' 31'',+ 02h 06' 00'',7560
LADAGNOUS Matthieu,FRA,FDJ,18,63,76h 19' 46'',+ 02h 06' 15'',7575
POELS Wouter,NED,TEAM SKY,18,64,76h 19' 50'',+ 02h 06' 19'',7579
FEDRIGO Pierrick,FRA,BRETAGNE - SECHE ENVIRONNEMENT,18,65,76h 20' 27'',+ 02h 06' 56'',7616
CLEMENT Stef,NED,IAM CYCLING,18,66,76h 22' 23'',+ 02h 08' 52'',7732
NAVARRO GARCIA Daniel,ESP,"COFIDIS, SOLUTIONS CREDITS",18,67,76h 22' 32'',+ 02h 09' 01'',7741
DE KORT Koen,NED,TEAM GIANT-ALPECIN,18,68,76h 24' 19'',+ 02h 10' 48'',7848
KONIG Leopold,CZE,TEAM SKY,18,69,76h 24' 32'',+ 02h 11' 01'',7861
HERRADA LOPEZ José,ESP,MOVISTAR TEAM,18,70,76h 26' 06'',+ 02h 12' 35'',7955
MARTENS Paul,GER,TEAM LOTTO NL - JUMBO,18,71,76h 28' 02'',+ 02h 14' 31'',8071
RIBLON Christophe,FRA,AG2R LA MONDIALE,18,72,76h 28' 14'',+ 02h 14' 43'',8083
MACHADO Tiago,POR,TEAM KATUSHA,18,73,76h 30' 47'',+ 02h 17' 16'',8236
WESTRA Lieuwe,NED,ASTANA PRO TEAM,18,74,76h 31' 26'',+ 02h 17' 55'',8275
PERICHON Pierre-Luc,FRA,BRETAGNE - SECHE ENVIRONNEMENT,18,75,76h 31' 36'',+ 02h 18' 05'',8285
KELDERMAN Wilco,NED,TEAM LOTTO NL - JUMBO,18,76,76h 31' 48'',+ 02h 18' 17'',8297
BOASSON HAGEN Edvald,NOR,MTN-QHUBEKA,18,77,76h 33' 50'',+ 02h 20' 19'',8419
DURASEK Kristijan,CRO,LAMPRE - MERIDA,18,78,76h 35' 08'',+ 02h 21' 37'',8497
BUCHMANN Emanuel,GER,BORA-ARGON 18,18,79,76h 35' 11'',+ 02h 21' 40'',8500
